排名,concept_name,concept_code,latest_price,pct_amount,pct_chg,total_mv,turn,up_count,down_count,leader_stock,leader_pct_chg,fetch_time
1,昨日打二板以上表现,BK1645,2060.02,132.35,6.87,67164648000,9.94,5,0,金 螳 螂,10.02,2026-04-22 14:49:30
2,光通信模块,BK1136,3818.93,185.34,5.1,5722118656000,7.51,77,6,永鼎股份,10.0,2026-04-22 14:49:30
3,CPO概念,BK1128,8424.38,387.3,4.82,5956353280000,5.11,46,3,永鼎股份,10.0,2026-04-22 14:49:30
4,昨日连板_含一字,BK1051,7962.13,324.12,4.24,138308140000,14.93,13,2,金 螳 螂,10.02,2026-04-22 14:49:30
5,昨日连板,BK0816,7499.04,293.68,4.08,97845999000,15.28,11,2,金 螳 螂,10.02,2026-04-22 14:49:30
6,光纤概念,BK1660,1204.37,47.01,4.06,3482037408000,3.91,56,9,永鼎股份,10.0,2026-04-22 14:49:30
7,EDR概念,BK1049,1945.22,71.1,3.79,358423936000,2.28,10,3,协创数据,20.0,2026-04-22 14:49:30
8,F5G概念,BK1088,5258.0,184.46,3.64,1980417264000,3.17,21,4,亨通光电,10.0,2026-04-22 14:49:30
9,高带宽内存,BK1152,1926.73,59.84,3.21,1481851424000,5.09,28,0,华特气体,17.78,2026-04-22 14:49:30
10,华为海思,BK1180,2073.79,64.18,3.19,1080334608000,4.77,34,6,晶赛科技,30.0,2026-04-22 14:49:30
11,英伟达概念,BK1161,2213.49,66.71,3.11,3341220320000,4.18,50,9,安诺其,20.0,2026-04-22 14:49:30
12,玻璃基板,BK1175,2453.38,70.36,2.95,1024888560000,3.1,28,7,沃格光电,10.0,2026-04-22 14:49:30
14,历史新高,BK1675,1095.94,28.82,2.7,4637610240000,6.85,35,11,沃格光电,10.0,2026-04-22 14:49:30
13,先进封装,BK1101,2760.58,72.48,2.7,1515993904000,5.53,25,3,沃格光电,10.0,2026-04-22 14:49:30
15,MLCC,BK0890,3597.59,91.45,2.61,459748352000,4.29,15,2,博迁新材,10.0,2026-04-22 14:49:30
16,OLED,BK0840,4048.93,99.06,2.51,3784958656000,3.92,98,31,安诺其,20.0,2026-04-22 14:49:30
17,昨日涨停_含一字,BK1050,40116.39,971.8,2.48,623252464000,11.75,42,22,金 螳 螂,10.02,2026-04-22 14:49:30
18,WiFi,BK0915,1699.82,40.31,2.43,844673216000,2.85,27,4,紫光股份,8.73,2026-04-22 14:49:30
19,AIPC,BK1164,2592.47,61.24,2.42,1891437728000,4.0,39,6,鹏鼎控股,10.01,2026-04-22 14:49:30
20,AI手机,BK1162,2001.16,47.14,2.41,1192066656000,3.58,29,5,鹏鼎控股,10.01,2026-04-22 14:49:30
21,通信技术,BK1650,1091.9,25.22,2.36,14947439872000,3.77,297,86,武汉凡谷,10.02,2026-04-22 14:49:30
22,中芯概念,BK0935,2103.27,48.5,2.36,3481356992000,3.0,56,10,华特气体,17.73,2026-04-22 14:49:30
23,百元股,BK1059,957.97,22.0,2.35,22319998208000,3.54,199,48,博迁新材,10.0,2026-04-22 14:49:30
