code,csv_file,file_size_kb,name,industry_name
sh.600000,sh_600000.csv,13.7041015625,浦发银行,未知行业
sh.600004,sh_600004.csv,13.0078125,白云机场,未知行业
sh.600006,sh_600006.csv,12.9267578125,东风股份,未知行业
sh.600007,sh_600007.csv,13.373046875,中国国贸,未知行业
sh.600008,sh_600008.csv,12.78125,首创环保,未知行业
sh.600009,sh_600009.csv,13.712890625,上海机场,未知行业
sh.600010,sh_600010.csv,13.2724609375,包钢股份,未知行业
sh.600011,sh_600011.csv,13.0537109375,华能国际,未知行业
sh.600012,sh_600012.csv,13.517578125,皖通高速,未知行业
sh.600015,sh_600015.csv,13.0478515625,华夏银行,未知行业
sh.600016,sh_600016.csv,13.1298828125,民生银行,未知行业
sh.600017,sh_600017.csv,12.8583984375,日照港,未知行业
sh.600018,sh_600018.csv,13.0126953125,上港集团,未知行业
sh.600019,sh_600019.csv,13.130859375,宝钢股份,未知行业
sh.600020,sh_600020.csv,12.76953125,中原高速,未知行业
sh.600021,sh_600021.csv,13.8125,上海电力,未知行业
sh.600022,sh_600022.csv,12.7998046875,山东钢铁,未知行业
sh.600023,sh_600023.csv,12.9189453125,浙能电力,未知行业
sh.600025,sh_600025.csv,13.1904296875,华能水电,未知行业
sh.600026,sh_600026.csv,13.76171875,中远海能,未知行业
sh.600027,sh_600027.csv,13.0146484375,华电国际,未知行业
sh.600028,sh_600028.csv,13.18359375,中国石化,未知行业
sh.600029,sh_600029.csv,13.103515625,南方航空,未知行业
sh.600030,sh_600030.csv,13.947265625,中信证券,未知行业
sh.600031,sh_600031.csv,13.8642578125,三一重工,未知行业
sh.600032,sh_600032.csv,12.951171875,浙江新能,未知行业
sh.600033,sh_600033.csv,12.9208984375,福建高速,未知行业
sh.600035,sh_600035.csv,12.58203125,楚天高速,未知行业
sh.600036,sh_600036.csv,13.8759765625,招商银行,未知行业
sh.600037,sh_600037.csv,12.984375,歌华有线,未知行业
sh.600038,sh_600038.csv,13.66015625,中直股份,未知行业
sh.600039,sh_600039.csv,13.1884765625,四川路桥,未知行业
sh.600048,sh_600048.csv,13.1748046875,保利发展,未知行业
sh.600050,sh_600050.csv,13.1494140625,中国联通,未知行业
sh.600051,sh_600051.csv,12.712890625,宁波联合,未知行业
sh.600052,sh_600052.csv,12.85546875,东望时代,未知行业
sh.600053,sh_600053.csv,13.46875,九鼎投资,未知行业
sh.600054,sh_600054.csv,13.564453125,黄山旅游,未知行业
sh.600055,sh_600055.csv,13.4501953125,万东医疗,未知行业
sh.600056,sh_600056.csv,13.671875,中国医药,未知行业
sh.600057,sh_600057.csv,13.00390625,厦门象屿,未知行业
sh.600058,sh_600058.csv,12.91015625,五矿发展,未知行业
sh.600059,sh_600059.csv,12.912109375,古越龙山,未知行业
sh.600060,sh_600060.csv,13.671875,海信视像,未知行业
sh.600061,sh_600061.csv,13.0302734375,国投资本,未知行业
sh.600062,sh_600062.csv,13.546875,华润双鹤,未知行业
sh.600063,sh_600063.csv,13.041015625,皖维高新,未知行业
sh.600064,sh_600064.csv,13.0185546875,南京高科,未知行业
sh.600066,sh_600066.csv,13.6376953125,宇通客车,未知行业
sh.600067,sh_600067.csv,12.9443359375,冠城新材,未知行业
sh.600071,sh_600071.csv,13.455078125,凤凰光学,未知行业
sh.600072,sh_600072.csv,13.7294921875,中船科技,未知行业
sh.600073,sh_600073.csv,12.8486328125,光明肉业,未知行业
sh.600075,sh_600075.csv,12.978515625,新疆天业,未知行业
sh.600076,sh_600076.csv,12.9638671875,康欣新材,未知行业
sh.600078,sh_600078.csv,13.5576171875,澄星股份,未知行业
